Количество уникальных ОКПД2 кодов: 3630
Топ 10 самых часто встречающихся ОКПД2 кодов:
ОКПД2 код: 14.12.30.132, Количество строк: 62481
ОКПД2 код: 16.21.22.000, Количество строк: 10
ОКПД2 код: 23.14.12.110, Количество строк: 10
ОКПД2 код: 26.40.33.190, Количество строк: 10
ОКПД2 код: 20.51.14.110, Количество строк: 10
ОКПД2 код: 13.92.21.110, Количество строк: 10
ОКПД2 код: 14.31.10.249, Количество строк: 10
ОКПД2 код: 13.92.12.119, Количество строк: 10
ОКПД2 код: 13.92.12.124, Количество строк: 10
ОКПД2 код: 13.92.12.123, Количество строк: 10
ОКПД2 код: 10.72.19.190, Количество строк: 10
ОКПД2 код: 10.82.23.122, Количество строк: 10
ОКПД2 код: 10.82.22.143, Количество строк: 10
ОКПД2 код: 10.84.12.160, Количество строк: 10
ОКПД2 код: 20.42.13.000, Количество строк: 10
ОКПД2 код: 11.01.10.212, Количество строк: 10
ОКПД2 код: 10.13.14.620, Количество строк: 10
ОКПД2 код: 10.51.40.141, Количество строк: 10
ОКПД2 код: 10.51.40.132, Количество строк: 10
ОКПД2 код: 10.20.14.110, Количество строк: 10
ОКПД2 код: 10.20.34.126, Количество строк: 10
ОКПД2 код: 10.61.21.113, Количество строк: 10
ОКПД2 код: 10.61.32.119, Количество строк: 10
ОКПД2 код: 20.13.31.000, Количество строк: 10
ОКПД2 код: 21.10.54.110, Количество строк: 10
ОКПД2 код: 32.30.16.110, Количество строк: 10
ОКПД2 код: 01.28.30.120, Количество строк: 10
ОКПД2 код: 01.30.10.133, Количество строк: 10
ОКПД2 код: 01.30.10.136, Количество строк: 10
ОКПД2 код: 10.62.13.190, Количество строк: 10
ОКПД2 код: 26.51.43.142, Количество строк: 10
ОКПД2 код: 14.19.31.112, Количество строк: 10
ОКПД2 код: 22.23.12.110, Количество строк: 10
ОКПД2 код: 26.51.66.135, Количество строк: 9
ОКПД2 код: 26.51.45.119, Количество строк: 9
ОКПД2 код: 14.19.42.142, Количество строк: 9
ОКПД2 код: 23.11.12.112, Количество строк: 9
ОКПД2 код: 25.73.40.114, Количество строк: 9
ОКПД2 код: 38.11.59.190, Количество строк: 9
ОКПД2 код: 20.12.19.110, Количество строк: 9
ОКПД2 код: 13.96.16.170, Количество строк: 9
ОКПД2 код: 19.20.41.190, Количество строк: 9
ОКПД2 код: 24.31.20.110, Количество строк: 9
ОКПД2 код: 24.10.67.000, Количество строк: 9
ОКПД2 код: 23.20.13.190, Количество строк: 9
ОКПД2 код: 16.23.11.120, Количество строк: 9
ОКПД2 код: 24.42.26.113, Количество строк: 9
ОКПД2 код: 27.90.13.110, Количество строк: 9
ОКПД2 код: 20.13.41.120, Количество строк: 9
ОКПД2 код: 20.15.31.000, Количество строк: 9
ОКПД2 код: 20.30.24.112, Количество строк: 9
ОКПД2 код: 20.12.24.120, Количество строк: 9
ОКПД2 код: 28.41.24.130, Количество строк: 9
ОКПД2 код: 28.49.12.113, Количество строк: 9
ОКПД2 код: 25.73.40.230, Количество строк: 9
ОКПД2 код: 26.51.33.129, Количество строк: 9
ОКПД2 код: 26.51.66.119, Количество строк: 9
ОКПД2 код: 26.51.64.170, Количество строк: 9
ОКПД2 код: 25.11.22.110, Количество строк: 9
ОКПД2 код: 02.30.50.000, Количество строк: 9
ОКПД2 код: 17.12.76.190, Количество строк: 9
ОКПД2 код: 17.22.13.130, Количество строк: 9
ОКПД2 код: 32.99.16.130, Количество строк: 9
ОКПД2 код: 31.01.12.121, Количество строк: 9
ОКПД2 код: 08.11.12.190, Количество строк: 9
ОКПД2 код: 25.40.13.190, Количество строк: 9
ОКПД2 код: 13.96.14.199, Количество строк: 9
ОКПД2 код: 32.30.15.232, Количество строк: 9
ОКПД2 код: 10.82.23.162, Количество строк: 9
ОКПД2 код: 10.82.23.180, Количество строк: 9
ОКПД2 код: 10.31.13.110, Количество строк: 9
ОКПД2 код: 20.14.75.000, Количество строк: 9
ОКПД2 код: 10.62.11.111, Количество строк: 9
ОКПД2 код: 10.51.56.120, Количество строк: 9
ОКПД2 код: 10.61.32.114, Количество строк: 9
ОКПД2 код: 21.20.10.113, Количество строк: 9
ОКПД2 код: 32.12.14.120, Количество строк: 9
ОКПД2 код: 16.29.25.130, Количество строк: 9
ОКПД2 код: 01.13.80.000, Количество строк: 9
ОКПД2 код: 01.19.31.190, Количество строк: 9
ОКПД2 код: 02.10.11.232, Количество строк: 9
ОКПД2 код: 01.47.21.000, Количество строк: 9
ОКПД2 код: 11.01.10.130, Количество строк: 9
ОКПД2 код: 10.39.17.110, Количество строк: 9
ОКПД2 код: 26.52.27.000, Количество строк: 8
ОКПД2 код: 20.13.62.130, Количество строк: 8
ОКПД2 код: 32.40.39.221, Количество строк: 8
ОКПД2 код: 28.21.11.111, Количество строк: 8
ОКПД2 код: 24.33.11.000, Количество строк: 8
ОКПД2 код: 27.20.23.120, Количество строк: 8
ОКПД2 код: 26.51.66.114, Количество строк: 8
ОКПД2 код: 19.20.29.220, Количество строк: 8
ОКПД2 код: 24.10.62.190, Количество строк: 8
ОКПД2 код: 24.10.54.000, Количество строк: 8
ОКПД2 код: 38.32.29.490, Количество строк: 8
ОКПД2 код: 24.42.22.136, Количество строк: 8
ОКПД2 код: 32.12.14.113, Количество строк: 8
ОКПД2 код: 23.99.14.120, Количество строк: 8
ОКПД2 код: 20.16.51.110, Количество строк: 8
ОКПД2 код: 20.16.59.220, Количество строк: 8
ОКПД2 код: 20.30.21.150, Количество строк: 8
ОКПД2 код: 20.14.11.126, Количество строк: 8
ОКПД2 код: 20.14.32.121, Количество строк: 8
ОКПД2 код: 20.14.53.120, Количество строк: 8
ОКПД2 код: 28.14.20.129, Количество строк: 8
ОКПД2 код: 27.90.40.120, Количество строк: 8
ОКПД2 код: 28.14.11.110, Количество строк: 8
ОКПД2 код: 28.41.22.120, Количество строк: 8
ОКПД2 код: 28.41.11.000, Количество строк: 8
ОКПД2 код: 28.49.12.119, Количество строк: 8
ОКПД2 код: 25.73.40.191, Количество строк: 8
ОКПД2 код: 25.73.40.250, Количество строк: 8
ОКПД2 код: 25.73.30.241, Количество строк: 8
ОКПД2 код: 25.73.30.130, Количество строк: 8
ОКПД2 код: 26.51.43.134, Количество строк: 8
ОКПД2 код: 26.51.11.190, Количество строк: 8
ОКПД2 код: 26.51.62.110, Количество строк: 8
ОКПД2 код: 28.93.12.000, Количество строк: 8
ОКПД2 код: 28.93.13.149, Количество строк: 8
ОКПД2 код: 28.25.13.119, Количество строк: 8
ОКПД2 код: 28.29.85.110, Количество строк: 8
ОКПД2 код: 17.12.14.143, Количество строк: 8
ОКПД2 код: 23.61.11.141, Количество строк: 8
ОКПД2 код: 23.61.12.172, Количество строк: 8
ОКПД2 код: 23.61.12.173, Количество строк: 8
ОКПД2 код: 23.61.12.174, Количество строк: 8
ОКПД2 код: 23.19.11.140, Количество строк: 8
ОКПД2 код: 26.30.50.115, Количество строк: 8
ОКПД2 код: 13.96.17.190, Количество строк: 8
ОКПД2 код: 13.92.12.143, Количество строк: 8
ОКПД2 код: 10.72.11.110, Количество строк: 8
ОКПД2 код: 10.82.23.141, Количество строк: 8
ОКПД2 код: 10.82.22.114, Количество строк: 8
ОКПД2 код: 10.82.21.120, Количество строк: 8
ОКПД2 код: 11.01.10.191, Количество строк: 8
ОКПД2 код: 11.01.10.122, Количество строк: 8
ОКПД2 код: 11.01.10.223, Количество строк: 8
ОКПД2 код: 11.07.19.135, Количество строк: 8
ОКПД2 код: 11.07.11.152, Количество строк: 8
ОКПД2 код: 10.51.56.220, Количество строк: 8
ОКПД2 код: 10.51.56.151, Количество строк: 8
ОКПД2 код: 10.51.56.311, Количество строк: 8
ОКПД2 код: 10.61.32.116, Количество строк: 8
ОКПД2 код: 21.20.10.169, Количество строк: 8
ОКПД2 код: 21.10.53.120, Количество строк: 8
ОКПД2 код: 21.20.21.110, Количество строк: 8
ОКПД2 код: 20.59.52.140, Количество строк: 8
ОКПД2 код: 58.14.11.110, Количество строк: 8
ОКПД2 код: 32.40.39.251, Количество строк: 8
ОКПД2 код: 32.40.39.111, Количество строк: 8
ОКПД2 код: 32.99.56.161, Количество строк: 8
ОКПД2 код: 01.13.34.000, Количество строк: 8
ОКПД2 код: 01.19.31.169, Количество строк: 8
ОКПД2 код: 02.10.12.111, Количество строк: 8
ОКПД2 код: 28.23.13.120, Количество строк: 8
ОКПД2 код: 14.14.1, Количество строк: 8
ОКПД2 код: 23.12.11.119, Количество строк: 8
ОКПД2 код: 32.40.39.152, Количество строк: 8
ОКПД2 код: 10.72.19.140, Количество строк: 8
ОКПД2 код: 20.41.31.120, Количество строк: 7
ОКПД2 код: 20.14.22.113, Количество строк: 7
ОКПД2 код: 28.14.12.120, Количество строк: 7
ОКПД2 код: 28.15.31.120, Количество строк: 7
ОКПД2 код: 29.32.30.210, Количество строк: 7
ОКПД2 код: 28.92.25.000, Количество строк: 7
ОКПД2 код: 19.20.21.300, Количество строк: 7
ОКПД2 код: 24.10.75.114, Количество строк: 7
ОКПД2 код: 24.10.80.112, Количество строк: 7
ОКПД2 код: 25.94.11.153, Количество строк: 7
ОКПД2 код: 20.11.11.121, Количество строк: 7
ОКПД2 код: 20.13.42.150, Количество строк: 7
ОКПД2 код: 22.21.42.141, Количество строк: 7
ОКПД2 код: 20.12.11.130, Количество строк: 7
ОКПД2 код: 19.20.29.171, Количество строк: 7
ОКПД2 код: 20.59.30.110, Количество строк: 7
ОКПД2 код: 13.99.19.141, Количество строк: 7
ОКПД2 код: 20.14.33.411, Количество строк: 7
ОКПД2 код: 20.14.14.000, Количество строк: 7
ОКПД2 код: 22.19.73.130, Количество строк: 7
ОКПД2 код: 28.92.40.123, Количество строк: 7
ОКПД2 код: 28.92.40.110, Количество строк: 7
ОКПД2 код: 28.22.14.140, Количество строк: 7
ОКПД2 код: 28.22.18.314, Количество строк: 7
ОКПД2 код: 30.20.40.119, Количество строк: 7
ОКПД2 код: 28.25.12.120, Количество строк: 7
ОКПД2 код: 28.13.13.120, Количество строк: 7
ОКПД2 код: 28.29.82.120, Количество строк: 7
ОКПД2 код: 28.91.12.110, Количество строк: 7
ОКПД2 код: 25.73.40.145, Количество строк: 7
ОКПД2 код: 26.51.33.144, Количество строк: 7
ОКПД2 код: 28.49.23.110, Количество строк: 7
ОКПД2 код: 26.20.14.160, Количество строк: 7
ОКПД2 код: 28.15.24.112, Количество строк: 7
ОКПД2 код: 28.15.21.120, Количество строк: 7
ОКПД2 код: 26.51.43.115, Количество строк: 7
ОКПД2 код: 26.51.66.127, Количество строк: 7
ОКПД2 код: 26.51.12.110, Количество строк: 7
ОКПД2 код: 26.70.11.110, Количество строк: 7
ОКПД2 код: 29.32.30.163, Количество строк: 7
ОКПД2 код: 28.30.32.130, Количество строк: 7
ОКПД2 код: 28.93.17.111, Количество строк: 7
ОКПД2 код: 02.20.11.119, Количество строк: 7
ОКПД2 код: 16.10.10.124, Количество строк: 7
ОКПД2 код: 16.10.32.121, Количество строк: 7
ОКПД2 код: 16.23.20.150, Количество строк: 7
ОКПД2 код: 17.22.11.120, Количество строк: 7
ОКПД2 код: 32.50.30.111, Количество строк: 7
ОКПД2 код: 23.61.12.190, Количество строк: 7
ОКПД2 код: 23.32.12.190, Количество строк: 7
ОКПД2 код: 23.12.13.350, Количество строк: 7
ОКПД2 код: 26.51.20.129, Количество строк: 7
ОКПД2 код: 30.30.32.120, Количество строк: 7
ОКПД2 код: 15.12.12.120, Количество строк: 7
ОКПД2 код: 10.82.23.134, Количество строк: 7
ОКПД2 код: 10.82.23.135, Количество строк: 7
ОКПД2 код: 10.82.23.151, Количество строк: 7
ОКПД2 код: 10.82.23.220, Количество строк: 7
ОКПД2 код: 20.42.19.190, Количество строк: 7
ОКПД2 код: 10.39.21.110, Количество строк: 7
ОКПД2 код: 10.32.23.120, Количество строк: 7
ОКПД2 код: 10.11.20.120, Количество строк: 7
ОКПД2 код: 10.51.52.190, Количество строк: 7
ОКПД2 код: 10.51.56.159, Количество строк: 7
ОКПД2 код: 10.51.22.111, Количество строк: 7
ОКПД2 код: 10.39.21.148, Количество строк: 7
ОКПД2 код: 10.52.10.141, Количество строк: 7
ОКПД2 код: 10.39.21.141, Количество строк: 7
ОКПД2 код: 10.20.25.119, Количество строк: 7
ОКПД2 код: 21.20.10.213, Количество строк: 7
ОКПД2 код: 21.20.10.242, Количество строк: 7
ОКПД2 код: 32.40.39.173, Количество строк: 7
ОКПД2 код: 32.12.13.110, Количество строк: 7
ОКПД2 код: 25.71.13.120, Количество строк: 7
ОКПД2 код: 25.93.14.140, Количество строк: 7
ОКПД2 код: 32.99.56.132, Количество строк: 7
ОКПД2 код: 01.28.30.110, Количество строк: 7
ОКПД2 код: 01.13.49.120, Количество строк: 7
ОКПД2 код: 01.30.10.131, Количество строк: 7
ОКПД2 код: 02.30.40.120, Количество строк: 7
ОКПД2 код: 01.24.21.000, Количество строк: 7
ОКПД2 код: 02.10.12.115, Количество строк: 7
ОКПД2 код: 11.02.12.152, Количество строк: 7
ОКПД2 код: 13.20.31.172, Количество строк: 7
ОКПД2 код: 22.21.21.130, Количество строк: 7
ОКПД2 код: 11.03.10.130, Количество строк: 7
ОКПД2 код: 10.72.12.110, Количество строк: 7
ОКПД2 код: 10.61.31.110, Количество строк: 7
ОКПД2 код: 11.01.10.142, Количество строк: 7
ОКПД2 код: 10.82.22.140, Количество строк: 7
ОКПД2 код: 23.51.12.190, Количество строк: 6
ОКПД2 код: 23.61.12.153, Количество строк: 6
ОКПД2 код: 30.20.31.112, Количество строк: 6
ОКПД2 код: 26.51.45.115, Количество строк: 6
ОКПД2 код: 32.20.20.190, Количество строк: 6
ОКПД2 код: 10.52.10.124, Количество строк: 6
ОКПД2 код: 13.95.10.190, Количество строк: 6
ОКПД2 код: 14.13.22.110, Количество строк: 6
ОКПД2 код: 29.10.22.000, Количество строк: 6
ОКПД2 код: 24.10.53.000, Количество строк: 6
ОКПД2 код: 15.12.12.199, Количество строк: 6
ОКПД2 код: 20.13.52.120, Количество строк: 6
ОКПД2 код: 19.20.25.112, Количество строк: 6
ОКПД2 код: 19.20.24.120, Количество строк: 6
ОКПД2 код: 19.20.21.321, Количество строк: 6
ОКПД2 код: 19.20.41.110, Количество строк: 6
ОКПД2 код: 20.11.11.131, Количество строк: 6
ОКПД2 код: 38.32.22.112, Количество строк: 6
ОКПД2 код: 24.10.22.190, Количество строк: 6
ОКПД2 код: 31.09.14.190, Количество строк: 6
ОКПД2 код: 24.10.14.120, Количество строк: 6
ОКПД2 код: 24.42.21.000, Количество строк: 6
ОКПД2 код: 24.42.25.110, Количество строк: 6
ОКПД2 код: 20.13.43.191, Количество строк: 6
ОКПД2 код: 20.13.64.120, Количество строк: 6
ОКПД2 код: 20.16.10.190, Количество строк: 6
ОКПД2 код: 20.16.57.110, Количество строк: 6
ОКПД2 код: 20.59.11.110, Количество строк: 6
ОКПД2 код: 20.14.23.119, Количество строк: 6
ОКПД2 код: 22.11.15.140, Количество строк: 6
ОКПД2 код: 20.13.51.117, Количество строк: 6
ОКПД2 код: 20.13.51.129, Количество строк: 6
ОКПД2 код: 21.20.24.150, Количество строк: 6
ОКПД2 код: 28.22.14.162, Количество строк: 6
ОКПД2 код: 30.20.33.113, Количество строк: 6
ОКПД2 код: 28.22.13.120, Количество строк: 6
ОКПД2 код: 26.51.41.190, Количество строк: 6
ОКПД2 код: 27.40.25.123, Количество строк: 6
ОКПД2 код: 27.40.24.129, Количество строк: 6
ОКПД2 код: 27.32.13.144, Количество строк: 6
ОКПД2 код: 27.32.13.195, Количество строк: 6
ОКПД2 код: 32.12.11.130, Количество строк: 6
ОКПД2 код: 32.12.12.131, Количество строк: 6
ОКПД2 код: 26.70.22.120, Количество строк: 6
ОКПД2 код: 28.92.30.190, Количество строк: 6
ОКПД2 код: 28.93.17.140, Количество строк: 6
ОКПД2 код: 28.25.13.113, Количество строк: 6
ОКПД2 код: 28.99.11.111, Количество строк: 6
ОКПД2 код: 16.23.20.140, Количество строк: 6
ОКПД2 код: 31.09.13.142, Количество строк: 6
ОКПД2 код: 23.70.11.110, Количество строк: 6
ОКПД2 код: 25.99.21.120, Количество строк: 6
ОКПД2 код: 13.10.85.119, Количество строк: 6
ОКПД2 код: 14.19.42.112, Количество строк: 6
ОКПД2 код: 13.92.12.142, Количество строк: 6
ОКПД2 код: 15.12.11.110, Количество строк: 6
ОКПД2 код: 15.20.12.113, Количество строк: 6
ОКПД2 код: 10.82.22.147, Количество строк: 6
ОКПД2 код: 20.41.31.121, Количество строк: 6
ОКПД2 код: 20.53.10.120, Количество строк: 6
ОКПД2 код: 20.42.12.120, Количество строк: 6
ОКПД2 код: 10.61.33.115, Количество строк: 6
ОКПД2 код: 10.13.14.415, Количество строк: 6
ОКПД2 код: 10.11.50.121, Количество строк: 6
ОКПД2 код: 10.51.40.161, Количество строк: 6
ОКПД2 код: 10.52.10.122, Количество строк: 6
ОКПД2 код: 21.10.54.130, Количество строк: 6
ОКПД2 код: 21.20.10.111, Количество строк: 6
ОКПД2 код: 23.13.11.150, Количество строк: 6
ОКПД2 код: 32.20.15.110, Количество строк: 6
ОКПД2 код: 32.40.39.132, Количество строк: 6
ОКПД2 код: 01.13.12.120, Количество строк: 6
ОКПД2 код: 01.19.31.150, Количество строк: 6
ОКПД2 код: 02.10.11.222, Количество строк: 6
ОКПД2 код: 13.96.17.129, Количество строк: 6
ОКПД2 код: 32.40.39.158, Количество строк: 6
ОКПД2 код: 17.23.13.140, Количество строк: 6
ОКПД2 код: 25.99.11.129, Количество строк: 6
ОКПД2 код: 29.32.30.180, Количество строк: 6
ОКПД2 код: 28.96.10.120, Количество строк: 6
ОКПД2 код: 26.20.15.160, Количество строк: 6
ОКПД2 код: 28.30.31.122, Количество строк: 6
ОКПД2 код: 26.12.30.190, Количество строк: 6
ОКПД2 код: 29.10.51.000, Количество строк: 5
ОКПД2 код: 10.39.22.130, Количество строк: 5
ОКПД2 код: 15.12.12.110, Количество строк: 5
ОКПД2 код: 58.29.11.000, Количество строк: 5
ОКПД2 код: 11.02.12.116, Количество строк: 5
ОКПД2 код: 28.14.11.152, Количество строк: 5
ОКПД2 код: 28.93.17.119, Количество строк: 5
ОКПД2 код: 21.20.24.160, Количество строк: 5
ОКПД2 код: 26.51.33.190, Количество строк: 5
ОКПД2 код: 20.16.10.111, Количество строк: 5
ОКПД2 код: 10.32.19.131, Количество строк: 5
ОКПД2 код: 13.20.31.129, Количество строк: 5
ОКПД2 код: 19.20.21.311, Количество строк: 5
ОКПД2 код: 27.32.13.147, Количество строк: 5
ОКПД2 код: 19.20.31.110, Количество строк: 5
ОКПД2 код: 19.20.32.190, Количество строк: 5
ОКПД2 код: 05.10.10.131, Количество строк: 5
ОКПД2 код: 38.32.22.121, Количество строк: 5
ОКПД2 код: 24.10.71.112, Количество строк: 5
ОКПД2 код: 24.10.66.210, Количество строк: 5
ОКПД2 код: 24.34.11.170, Количество строк: 5
ОКПД2 код: 25.94.11.151, Количество строк: 5
ОКПД2 код: 25.94.12.141, Количество строк: 5
ОКПД2 код: 08.12.22.112, Количество строк: 5
ОКПД2 код: 23.20.13.120, Количество строк: 5
ОКПД2 код: 24.42.23.000, Количество строк: 5
ОКПД2 код: 27.90.13.129, Количество строк: 5
ОКПД2 код: 24.45.30.187, Количество строк: 5
ОКПД2 код: 25.93.15.130, Количество строк: 5
ОКПД2 код: 20.15.10.112, Количество строк: 5
ОКПД2 код: 20.13.51.112, Количество строк: 5
ОКПД2 код: 20.13.42.130, Количество строк: 5
ОКПД2 код: 20.13.64.130, Количество строк: 5
ОКПД2 код: 20.59.54.130, Количество строк: 5
ОКПД2 код: 20.16.10.119, Количество строк: 5
ОКПД2 код: 20.16.59.180, Количество строк: 5
ОКПД2 код: 22.23.14.110, Количество строк: 5
ОКПД2 код: 20.14.11.139, Количество строк: 5
ОКПД2 код: 20.41.10.120, Количество строк: 5
ОКПД2 код: 20.14.42.000, Количество строк: 5
ОКПД2 код: 20.14.32.122, Количество строк: 5
ОКПД2 код: 20.12.21.130, Количество строк: 5
ОКПД2 код: 28.22.14.152, Количество строк: 5
ОКПД2 код: 28.22.17.119, Количество строк: 5
ОКПД2 код: 28.12.11.113, Количество строк: 5
ОКПД2 код: 27.12.23.190, Количество строк: 5
ОКПД2 код: 27.12.10.150, Количество строк: 5
ОКПД2 код: 26.11.22.229, Количество строк: 5
ОКПД2 код: 27.51.24.130, Количество строк: 5
ОКПД2 код: 28.25.11.112, Количество строк: 5
ОКПД2 код: 28.13.22.000, Количество строк: 5
ОКПД2 код: 28.13.12.120, Количество строк: 5
ОКПД2 код: 28.29.11.120, Количество строк: 5
ОКПД2 код: 28.49.12.111, Количество строк: 5
ОКПД2 код: 28.49.12.112, Количество строк: 5
ОКПД2 код: 25.73.40.240, Количество строк: 5
ОКПД2 код: 26.51.33.133, Количество строк: 5
ОКПД2 код: 25.73.40.115, Количество строк: 5
ОКПД2 код: 25.73.40.279, Количество строк: 5
ОКПД2 код: 26.20.14.120, Количество строк: 5
ОКПД2 код: 28.12.13.150, Количество строк: 5
ОКПД2 код: 26.51.66.112, Количество строк: 5
ОКПД2 код: 26.51.66.131, Количество строк: 5
ОКПД2 код: 26.51.41.120, Количество строк: 5
ОКПД2 код: 28.22.15.110, Количество строк: 5
ОКПД2 код: 30.92.10.130, Количество строк: 5
ОКПД2 код: 29.32.30.214, Количество строк: 5
ОКПД2 код: 28.15.24.139, Количество строк: 5
ОКПД2 код: 28.15.10.129, Количество строк: 5
ОКПД2 код: 28.92.40.139, Количество строк: 5
ОКПД2 код: 28.94.30.110, Количество строк: 5
ОКПД2 код: 28.25.13.112, Количество строк: 5
ОКПД2 код: 17.12.14.172, Количество строк: 5
ОКПД2 код: 17.12.14.142, Количество строк: 5
ОКПД2 код: 17.12.43.112, Количество строк: 5
ОКПД2 код: 17.22.12.120, Количество строк: 5
ОКПД2 код: 31.09.12.122, Количество строк: 5
ОКПД2 код: 31.01.12.123, Количество строк: 5
ОКПД2 код: 23.52.10.110, Количество строк: 5
ОКПД2 код: 23.52.10.120, Количество строк: 5
ОКПД2 код: 23.19.22.120, Количество строк: 5
ОКПД2 код: 23.13.11.111, Количество строк: 5
ОКПД2 код: 26.40.42.110, Количество строк: 5
ОКПД2 код: 20.51.14.130, Количество строк: 5
ОКПД2 код: 30.12.19.110, Количество строк: 5
ОКПД2 код: 30.30.20.190, Количество строк: 5
ОКПД2 код: 14.19.23.210, Количество строк: 5
ОКПД2 код: 13.20.41.110, Количество строк: 5
ОКПД2 код: 13.20.20.119, Количество строк: 5
ОКПД2 код: 14.31.10.179, Количество строк: 5
ОКПД2 код: 13.92.12.122, Количество строк: 5
ОКПД2 код: 15.11.31.000, Количество строк: 5
ОКПД2 код: 13.10.50.213, Количество строк: 5
ОКПД2 код: 10.71.11.200, Количество строк: 5
ОКПД2 код: 10.42.10.112, Количество строк: 5
ОКПД2 код: 10.41.72.120, Количество строк: 5
ОКПД2 код: 10.39.30.000, Количество строк: 5
ОКПД2 код: 20.42.14.120, Количество строк: 5
ОКПД2 код: 10.13.15.127, Количество строк: 5
ОКПД2 код: 11.07.19.159, Количество строк: 5
ОКПД2 код: 10.81.13.110, Количество строк: 5
ОКПД2 код: 10.11.13.110, Количество строк: 5
ОКПД2 код: 10.12.40.111, Количество строк: 5
ОКПД2 код: 20.59.60.111, Количество строк: 5
ОКПД2 код: 10.51.52.170, Количество строк: 5
ОКПД2 код: 03.12.12.123, Количество строк: 5
ОКПД2 код: 10.20.25.115, Количество строк: 5
ОКПД2 код: 10.61.31.111, Количество строк: 5
ОКПД2 код: 21.20.10.134, Количество строк: 5
ОКПД2 код: 21.20.10.182, Количество строк: 5
ОКПД2 код: 21.10.54.120, Количество строк: 5
ОКПД2 код: 21.10.60.195, Количество строк: 5
ОКПД2 код: 32.30.11.121, Количество строк: 5
ОКПД2 код: 32.20.20.160, Количество строк: 5
ОКПД2 код: 32.40.39.165, Количество строк: 5
ОКПД2 код: 32.40.12.121, Количество строк: 5
ОКПД2 код: 32.40.11.164, Количество строк: 5
ОКПД2 код: 32.99.23.120, Количество строк: 5
ОКПД2 код: 32.99.23.110, Количество строк: 5
ОКПД2 код: 32.99.15.130, Количество строк: 5
ОКПД2 код: 01.13.43.110, Количество строк: 5
ОКПД2 код: 32.50.21.129, Количество строк: 5
ОКПД2 код: 32.20.13.175, Количество строк: 5
ОКПД2 код: 13.91.19.120, Количество строк: 5
ОКПД2 код: 24.42.26.110, Количество строк: 5
ОКПД2 код: 13.20.13.110, Количество строк: 5
ОКПД2 код: 28.12.14.110, Количество строк: 5
ОКПД2 код: 10.39.21.140, Количество строк: 5
ОКПД2 код: 10.52.10.110, Количество строк: 5
ОКПД2 код: 23.51.12.112, Количество строк: 5
ОКПД2 код: 13.92.24.150, Количество строк: 5
ОКПД2 код: 23.13.13.110, Количество строк: 5
ОКПД2 код: 28.14.20.290, Количество строк: 5
ОКПД2 код: 06.20.10.110, Количество строк: 5
ОКПД2 код: 25.99.11.139, Количество строк: 5
ОКПД2 код: 26.30.23.170, Количество строк: 5
ОКПД2 код: 32.40.11.133, Количество строк: 5
ОКПД2 код: 11.07.19.120, Количество строк: 5
ОКПД2 код: 10.39.23.000, Количество строк: 4
ОКПД2 код: 16.10.23.112, Количество строк: 4
ОКПД2 код: 27.90.40.130, Количество строк: 4
ОКПД2 код: 13.93.12.130, Количество строк: 4
ОКПД2 код: 10.83.13, Количество строк: 4
ОКПД2 код: 16.21.12.114, Количество строк: 4
ОКПД2 код: 24.10.23.142, Количество строк: 4
ОКПД2 код: 10.51.52.214, Количество строк: 4
ОКПД2 код: 19.20.21.200, Количество строк: 4
ОКПД2 код: 24.10.80.110, Количество строк: 4
ОКПД2 код: 19.20.31.120, Количество строк: 4
ОКПД2 код: 24.10.74.120, Количество строк: 4
ОКПД2 код: 24.31.20.120, Количество строк: 4
ОКПД2 код: 24.10.66.122, Количество строк: 4
ОКПД2 код: 24.31.10.120, Количество строк: 4
ОКПД2 код: 24.34.13.130, Количество строк: 4
ОКПД2 код: 24.32.20.000, Количество строк: 4
ОКПД2 код: 25.94.11.150, Количество строк: 4
ОКПД2 код: 25.94.11.155, Количество строк: 4
ОКПД2 код: 24.42.11.110, Количество строк: 4
ОКПД2 код: 24.42.11.130, Количество строк: 4
ОКПД2 код: 24.44.13.110, Количество строк: 4
ОКПД2 код: 38.32.25.110, Количество строк: 4
ОКПД2 код: 38.32.29.160, Количество строк: 4
ОКПД2 код: 38.32.23.110, Количество строк: 4
ОКПД2 код: 38.32.23.130, Количество строк: 4
ОКПД2 код: 24.45.23.110, Количество строк: 4
ОКПД2 код: 20.13.25.120, Количество строк: 4
ОКПД2 код: 20.15.49.000, Количество строк: 4
ОКПД2 код: 20.15.51.000, Количество строк: 4
ОКПД2 код: 38.11.55.000, Количество строк: 4
ОКПД2 код: 20.30.24.111, Количество строк: 4
ОКПД2 код: 20.30.22.231, Количество строк: 4
ОКПД2 код: 20.14.23.112, Количество строк: 4
ОКПД2 код: 20.14.24.119, Количество строк: 4
ОКПД2 код: 30.20.33.112, Количество строк: 4
ОКПД2 код: 30.20.33.118, Количество строк: 4
ОКПД2 код: 30.20.33.116, Количество строк: 4
ОКПД2 код: 30.20.32.111, Количество строк: 4
ОКПД2 код: 27.11.32.110, Количество строк: 4
ОКПД2 код: 27.12.32.000, Количество строк: 4
ОКПД2 код: 27.33.13.169, Количество строк: 4
ОКПД2 код: 27.51.24.150, Количество строк: 4
ОКПД2 код: 27.40.42.112, Количество строк: 4
ОКПД2 код: 28.41.21.120, Количество строк: 4
ОКПД2 код: 25.73.40.220, Количество строк: 4
